Group,Title,Year,Album,Filename
Old,有心論,2006,RADWIMPS 4,old_01_yushinron.txt
Old,ふたりごと,2006,RADWIMPS 4,old_02_futarigoto.txt
Old,いいんですか?,2006,RADWIMPS 4,old_03_iindesuka.txt
Old,me me she,2006,RADWIMPS 4,old_04_memeshe.txt
Old,DARMA GRAND PRIX,2013,×と○と罪と,old_05_darma.txt
Old,会心の一撃,2013,×と○と罪と,old_06_kaishin.txt
Old,トレモロ,2006,RADWIMPS 3,old_07_tremolo.txt
Old,おしゃかしゃま,2009,アルトコロニー,old_08_oshakashama.txt
Old,君と羊と青,2011,絶体絶命,old_09_kimitohitsuji.txt
Old,最大公約数,2006,RADWIMPS 3,old_10_saidai.txt
Old,セプテンバーさん,2006,RADWIMPS 3,old_11_september.txt
Old,25ｺ目の染色体,2005,RADWIMPS 3,old_12_25ko.txt
Old,DADA,2011,絶体絶命,old_13_dada.txt
Old,夢番地,2006,RADWIMPS 4,old_14_yumebanchi.txt
Old,オーダーメイド,2008,アルトコロニー,old_15_ordermade.txt
Old,五月の蝿,2013,×と○と罪と,old_16_gogatsu.txt
Old,携帯電話,2010,絶体絶命,old_17_keitai.txt
Old,狭心症,2011,絶体絶命,old_18_kyoshinsho.txt
Old,Tummy,2013,×と○と罪と,old_19_tummy.txt
Old,実況中継,2013,×と○と罪と,old_20_jikkyo.txt
New,前前前世,2016,人間開花,new_01_zenzen.txt
New,なんでもないや,2016,人間開花,new_02_nandemo.txt
New,スパークル,2016,人間開花,new_03_sparkle.txt
New,そっけない,2018,ANTI ANTI,new_04_sokkenai.txt
New,愛にできることはまだあるかい,2019,天気の子,new_05_ainidekiru.txt
New,グランドエスケープ,2019,天気の子,new_06_grand.txt
New,正解,2018,ANTI ANTI,new_07_seikai.txt
New,夢灯籠,2016,人間開花,new_08_yumetourou.txt
New,棒人間,2016,人間開花,new_09_boningen.txt
New,猫じゃらし,2020,FOREVER DAZE,new_10_neko.txt
New,サイハテアイニ,2017,人間開花(S),new_11_saihate.txt
New,万歳千唱,2018,ANTI ANTI,new_12_banzai.txt
New,カタルシスト,2018,ANTI ANTI,new_13_catharsist.txt
New,泣き出しそうだよ,2018,ANTI ANTI,new_14_nakidashiso.txt
New,週刊少年ジャンプ,2016,人間開花,new_15_jump.txt
New,光,2016,人間開花,new_16_hikari.txt
New,PAPARAZZI,2018,ANTI ANTI,new_17_paparazzi.txt
New,洗脳,2018,ANTI ANTI,new_18_senno.txt
New,鋼の羽根,2021,FOREVER DAZE,new_19_hagane.txt
New,TWILIGHT,2021,FOREVER DAZE,new_20_twilight.txt
