Group,GroupDir,Title,Year,Album,Filename,token_n,matched_n,unmatched_rt,mean_rank_w,basic_rt
New,new,PAPARAZZI,2018,ANTI ANTI,new_17_paparazzi.txt,443,328,0.2595936794582393,11232.280487804877,0.5711060948081265
New,new,TWILIGHT,2021,FOREVER DAZE,new_20_twilight.txt,192,134,0.30208333333333337,10659.201492537313,0.5260416666666666
New,new,そっけない,2018,ANTI ANTI,new_04_sokkenai.txt,181,124,0.3149171270718232,12375.016129032258,0.56353591160221
New,new,なんでもないや,2016,人間開花,new_02_nandemo.txt,208,143,0.3125,11986.132867132867,0.5384615384615384
New,new,カタルシスト,2018,ANTI ANTI,new_13_catharsist.txt,243,121,0.5020576131687242,5131.024793388429,0.45267489711934156
New,new,グランドエスケープ,2019,天気の子,new_06_grand.txt,171,143,0.16374269005847952,5789.881118881119,0.7485380116959064
New,new,サイハテアイニ,2017,人間開花(S),new_11_saihate.txt,184,137,0.2554347826086957,10368.080291970802,0.6521739130434783
New,new,スパークル,2016,人間開花,new_03_sparkle.txt,100,85,0.15000000000000002,8031,0.69
New,new,万歳千唱,2018,ANTI ANTI,new_12_banzai.txt,166,139,0.16265060240963858,8067.63309352518,0.7048192771084337
New,new,光,2016,人間開花,new_16_hikari.txt,109,83,0.23853211009174313,9974.903614457831,0.6146788990825688
New,new,前前前世,2016,人間開花,new_01_zenzen.txt,158,119,0.24683544303797467,7935.109243697479,0.5949367088607594
New,new,夢灯籠,2016,人間開花,new_08_yumetourou.txt,81,65,0.19753086419753085,13049.523076923077,0.654320987654321
New,new,愛にできることはまだあるかい,2019,天気の子,new_05_ainidekiru.txt,204,153,0.25,13883.437908496731,0.6127450980392157
New,new,棒人間,2016,人間開花,new_09_boningen.txt,229,176,0.23144104803493448,10408.352272727272,0.6419213973799127
New,new,正解,2018,ANTI ANTI,new_07_seikai.txt,201,148,0.263681592039801,4756.7972972972975,0.6567164179104478
New,new,泣き出しそうだよ,2018,ANTI ANTI,new_14_nakidashiso.txt,156,131,0.16025641025641024,3778.587786259542,0.8012820512820513
New,new,洗脳,2018,ANTI ANTI,new_18_senno.txt,281,212,0.24555160142348753,15354.580188679245,0.5836298932384342
New,new,猫じゃらし,2020,FOREVER DAZE,new_10_neko.txt,140,113,0.19285714285714284,5153.185840707964,0.7285714285714285
New,new,週刊少年ジャンプ,2016,人間開花,new_15_jump.txt,207,163,0.2125603864734299,7413.0306748466255,0.6231884057971014
New,new,鋼の羽根,2021,FOREVER DAZE,new_19_hagane.txt,240,189,0.21250000000000002,5634.179894179894,0.6708333333333333
Old,old,25ｺ目の染色体,2005,RADWIMPS 3,old_12_25ko.txt,279,141,0.4946236559139785,9257.943262411347,0.44086021505376344
Old,old,DADA,2011,絶体絶命,old_13_dada.txt,197,142,0.2791878172588832,20056.035211267605,0.467005076142132
Old,old,DARMA GRAND PRIX,2013,×と○と罪と,old_05_darma.txt,195,152,0.2205128205128205,11853.276315789473,0.6
Old,old,Tummy,2013,×と○と罪と,old_19_tummy.txt,556,98,0.8237410071942446,5507.1122448979595,0.1528776978417266
Old,old,me me she,2006,RADWIMPS 4,old_04_memeshe.txt,143,103,0.2797202797202797,5136.407766990291,0.6573426573426573
Old,old,いいんですか?,2006,RADWIMPS 4,old_03_iindesuka.txt,301,175,0.41860465116279066,23949.53714285714,0.33222591362126247
Old,old,おしゃかしゃま,2009,アルトコロニー,old_08_oshakashama.txt,246,158,0.3577235772357723,12479.354430379746,0.4878048780487805
Old,old,ふたりごと,2006,RADWIMPS 4,old_02_futarigoto.txt,264,191,0.2765151515151515,8517.675392670157,0.6363636363636364
Old,old,オーダーメイド,2008,アルトコロニー,old_15_ordermade.txt,229,171,0.2532751091703057,13073.959064327486,0.5589519650655022
Old,old,セプテンバーさん,2006,RADWIMPS 3,old_11_september.txt,179,142,0.2067039106145251,10313.929577464789,0.6368715083798883
Old,old,トレモロ,2006,RADWIMPS 3,old_07_tremolo.txt,149,117,0.21476510067114096,11458.82905982906,0.6174496644295302
Old,old,五月の蝿,2013,×と○と罪と,old_16_gogatsu.txt,234,181,0.22649572649572647,8318.508287292818,0.5897435897435898
Old,old,会心の一撃,2013,×と○と罪と,old_06_kaishin.txt,234,185,0.20940170940170943,5852.1945945945945,0.6709401709401709
Old,old,君と羊と青,2011,絶体絶命,old_09_kimitohitsuji.txt,159,126,0.2075471698113207,9469.539682539682,0.6163522012578616
Old,old,夢番地,2006,RADWIMPS 4,old_14_yumebanchi.txt,227,129,0.43171806167400884,5700.170542635659,0.5374449339207048
Old,old,実況中継,2013,×と○と罪と,old_20_jikkyo.txt,404,293,0.2747524752475248,9483.317406143346,0.5915841584158416
Old,old,携帯電話,2010,絶体絶命,old_17_keitai.txt,221,167,0.24434389140271495,17585.730538922155,0.5882352941176471
Old,old,最大公約数,2006,RADWIMPS 3,old_10_saidai.txt,231,171,0.2597402597402597,8516.163742690058,0.645021645021645
Old,old,有心論,2006,RADWIMPS 4,old_01_yushinron.txt,249,196,0.21285140562248994,7559.709183673469,0.6827309236947792
Old,old,狭心症,2011,絶体絶命,old_18_kyoshinsho.txt,248,175,0.2943548387096774,9553.388571428572,0.5846774193548387
