Term,Filename,Freq,Group,Title,Year,Album,GroupDir,LyricsPath,bccwj_rank
%,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
',old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
',old_14_yumebanchi.txt,3,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
',old_19_tummy.txt,29,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
(,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
),old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
",",old_12_25ko.txt,2,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
",",old_19_tummy.txt,15,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
...,old_14_yumebanchi.txt,2,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
1,old_08_oshakashama.txt,1,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,NA
1,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
1,old_18_kyoshinsho.txt,2,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,NA
10,old_10_saidai.txt,1,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,NA
100,old_04_memeshe.txt,1,Old,me me she,2006,RADWIMPS 4,old,lyrics/old/old_04_memeshe.txt,NA
100,old_10_saidai.txt,2,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,NA
100,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
100,old_18_kyoshinsho.txt,1,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,NA
100,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,NA
