Group,Title,Year,Album,Filename,Token,Type
Old,譛牙ｿ・ｫ・2006,RADWIMPS 4,old_01_yushinron.txt,479,200,
Old,縺ｵ縺溘ｊ縺斐→,2006,RADWIMPS 4,old_02_futarigoto.txt,557,233
Old,縺・＞繧薙〒縺吶°?,2006,RADWIMPS 4,old_03_iindesuka.txt,652,163
Old,me me she,2006,RADWIMPS 4,old_04_memeshe.txt,354,158
Old,DARMA GRAND PRIX,2013,ﾃ励→笳九→鄂ｪ縺ｨ,old_05_darma.txt,375,192
Old,莨壼ｿ・・荳謦・2013,ﾃ励→笳九→鄂ｪ縺ｨ,old_06_kaishin.txt,394,170,
Old,繝医Ξ繝｢繝ｭ,2006,RADWIMPS 3,old_07_tremolo.txt,298,139
Old,縺翫＠繧・°縺励ｃ縺ｾ,2009,繧｢繝ｫ繝医さ繝ｭ繝九・,old_08_oshakashama.txt,522,216
Old,蜷帙→鄒翫→髱・2011,邨ｶ菴鍋ｵｶ蜻ｽ,old_09_kimitohitsuji.txt,326,163,
Old,譛螟ｧ蜈ｬ邏・焚,2006,RADWIMPS 3,old_10_saidai.txt,410,169
Old,繧ｻ繝励ユ繝ｳ繝舌・縺輔ｓ,2006,RADWIMPS 3,old_11_september.txt,369,150
Old,25・ｺ逶ｮ縺ｮ譟楢牡菴・2005,RADWIMPS 3,old_12_25ko.txt,441,226,
Old,DADA,2011,邨ｶ菴鍋ｵｶ蜻ｽ,old_13_dada.txt,397,221
Old,螟｢逡ｪ蝨ｰ,2006,RADWIMPS 4,old_14_yumebanchi.txt,443,164
Old,繧ｪ繝ｼ繝繝ｼ繝｡繧､繝・2008,繧｢繝ｫ繝医さ繝ｭ繝九・,old_15_ordermade.txt,494,195,
Old,莠疲怦縺ｮ陜ｿ,2013,ﾃ励→笳九→鄂ｪ縺ｨ,old_16_gogatsu.txt,476,208
Old,謳ｺ蟶ｯ髮ｻ隧ｱ,2010,邨ｶ菴鍋ｵｶ蜻ｽ,old_17_keitai.txt,452,140
Old,迢ｭ蠢・裸,2011,邨ｶ菴鍋ｵｶ蜻ｽ,old_18_kyoshinsho.txt,536,225
Old,Tummy,2013,ﾃ励→笳九→鄂ｪ縺ｨ,old_19_tummy.txt,733,272
Old,螳滓ｳ∽ｸｭ邯・2013,ﾃ励→笳九→鄂ｪ縺ｨ,old_20_jikkyo.txt,839,362,
New,蜑榊燕蜑堺ｸ・2016,莠ｺ髢馴幕闃ｱ,new_01_zenzen.txt,374,157,
New,縺ｪ繧薙〒繧ゅ↑縺・ｄ,2016,莠ｺ髢馴幕闃ｱ,new_02_nandemo.txt,471,166
New,繧ｹ繝代・繧ｯ繝ｫ,2016,莠ｺ髢馴幕闃ｱ,new_03_sparkle.txt,201,131
New,縺昴▲縺代↑縺・2018,ANTI ANTI,new_04_sokkenai.txt,440,174,
New,諢帙↓縺ｧ縺阪ｋ縺薙→縺ｯ縺ｾ縺縺ゅｋ縺九＞,2019,螟ｩ豌励・蟄・new_05_ainidekiru.txt,435,165,
New,繧ｰ繝ｩ繝ｳ繝峨お繧ｹ繧ｱ繝ｼ繝・2019,螟ｩ豌励・蟄・new_06_grand.txt,347,154,,
New,豁｣隗｣,2018,ANTI ANTI,new_07_seikai.txt,426,202
New,螟｢轣ｯ邀,2016,莠ｺ髢馴幕闃ｱ,new_08_yumetourou.txt,171,114
New,譽剃ｺｺ髢・2016,莠ｺ髢馴幕闃ｱ,new_09_boningen.txt,480,192,
New,迪ｫ縺倥ｃ繧峨＠,2020,FOREVER DAZE,new_10_neko.txt,312,138
New,繧ｵ繧､繝上ユ繧｢繧､繝・2017,莠ｺ髢馴幕闃ｱ(S),new_11_saihate.txt,375,158,
New,荳・ｭｳ蜊・罰,2018,ANTI ANTI,new_12_banzai.txt,333,153
New,繧ｫ繧ｿ繝ｫ繧ｷ繧ｹ繝・2018,ANTI ANTI,new_13_catharsist.txt,471,178,
New,豕｣縺榊・縺励◎縺・□繧・2018,ANTI ANTI,new_14_nakidashiso.txt,327,116,
New,騾ｱ蛻雁ｰ大ｹｴ繧ｸ繝｣繝ｳ繝・2016,莠ｺ髢馴幕闃ｱ,new_15_jump.txt,451,167,
New,蜈・2016,莠ｺ髢馴幕闃ｱ,new_16_hikari.txt,225,115,
New,PAPARAZZI,2018,ANTI ANTI,new_17_paparazzi.txt,953,368
New,豢苓┻,2018,ANTI ANTI,new_18_senno.txt,643,238
New,驪ｼ縺ｮ鄒ｽ譬ｹ,2021,FOREVER DAZE,new_19_hagane.txt,497,200
New,TWILIGHT,2021,FOREVER DAZE,new_20_twilight.txt,358,168
